ムサシ・ジョウネッツ,バーンズ勇気、川﨑樹音、千葉一磨,K-1 1位（4勝3敗）優勝,,K-1 2位（5勝1敗）,,K-1 1位（3勝0敗）優勝,,敗退,,12勝5敗
ボウソウ・ゴリオッシュ,髙橋郁哉、永島謙二郎、日向滉一,K-1 3位（4勝3敗）K-2降格,,K-2,（0勝1敗）,K-2,（2勝0敗）チャンピオンシップ進出,優勝（3勝）,,9勝4敗
キタカワチ・イチカバチカ,木村遼希、藤田ライアン、藤本七海,K-1 2位（4勝3敗）,,K-1 1位（5勝1敗）優勝,,K-1 2位（2勝1敗）,,敗退,,11勝6敗
メグロ・マボロシRX,洸太レイシー、千秋レイシー、一木有海,K-2,,K-2,（0勝1敗）,K-2,（0勝1敗）,,,0勝3敗
オオエド・キラメッキー,篠原愛実、小関裕太、細田羅夢,K-2,（2勝0敗）,K-1 3位（2勝4敗）K-2降格,,K-2,（2勝1敗）,,代理：木内梨生奈,6勝5敗
サイキョウ・シャカリキ,木内梨生奈、渡邊エリー、笠原拓巳,K-2,（0勝1敗）,K-2,（1勝1敗）,K-2,（0勝1敗）,,,1勝3敗
チチブ・オシトヤカ,伊倉愛美、大木梓彩、加藤ジーナ,K-2,（1勝1敗）,K-2,（1勝1敗）,K-2,（0勝1敗）,,,2勝3敗
ケイヒン・カシマシー,木内江莉、橋本甜歌、細川藍,K-2,（1勝1敗）,K-2,（2勝0敗）,K-1 3位（0勝3敗）,,敗退,,3勝5敗
