1,新てれび戦士 着任,4月2日
2,森の熊さん事件,5月7日
3,星の王子様事件,6月11日
4,そして誰もいなくなった事件,7月9日
特別編,大!天才クエストII～古坂大魔王の挑戦状～,9月3日、9月4日、9月5日
5,上を向いて歩こう事件,10月8日
6,ささやきの壺事件,11月12日
7,たとえ君の姿が変わっても事件,12月3日
8,さよならは突然に事件,2月27日
