第1話,4/16<br>4/23<br>4/30,その時、戦士は立ち上がった,山元竜一<br>舛田徳寿<br>谷崎まお<br>泉水知子<br>岡田ひとみ<br>秋村久美（演：坂上香織）<br>瀬戸陽一朗<br>石井未来<br>秋村英介（演：太川陽介）<br>藤沢秀樹<br>坂田おさむ
第2話,5/14<br>5/21<br>5/28,その時、幕は上がった,ダーブロウ有紗<br>武富さおり（演：早勢美里）<br>千羽鶴橋プリン（演：駒崎香織）<br>山岸治雄<br>岩城美香<br>竹内紫織<br>藤田健次郎<br>校長先生（演：山田吾一）
第3話,6/18<br>6/25<br>7/2<br>7/9,ついに、決戦の時が来た！,竪山隼太<br>妹尾正文<br>村杉蝉之介<br>柴田林太郎<br>阿部渡<br>東出典子<br>江川希<br>竪山綾子（演：鹿取洋子）<br>セーメーアベ（声：下山吉光）
