../kyoryuwakusei,恐竜惑星
../genediver,ジーンダイバー
../arisutanteikyoku,アリス探偵局
../nanosaver,救命戦士ナノセイバー
../arisusos,アリスSOS
../susie-marvy,スージーちゃんとマービー
../heroherokun,へろへろくん
../kageman,探偵少年カゲマン
../babybarchan,ベイベーばあちゃん
../chibidebi,ちび☆デビ!
../zumomo-nupepe,ズモモとヌペペ
../kuromajosan,黒魔女さんが通る!!
../gigantshooter,ギガントシューターつかさ
../kutsudaru,くつだる。
../dochamon-jr,どちゃもん じゅにあ
../miracle-cats,おまかせ！みらくるキャット団
../kz-note,探偵チームKZ事件ノート
../shonen-ashibe,少年アシベ GO！GO！ゴマちゃん
../nekoneko-nihonshi,ねこねこ日本史
../breakers,ブレーカーズ
../fushigidagashiya-zenitenndou,ふしぎ駄菓子屋 銭天堂
