第1話,消えた自転車
第2話,赤い数字のなぞ
第3話,白雪姫子 危機一髪！
第4話,盗まれた黄金の斧
第5話,犯人は電話をかけていた？
第6話,姿なき誘拐犯人
第7話,ライバル登場！？ イナバくんあせる！
第8話,おにが島の怪事件
第9話,荒らされたタンスのなぞ
第10話,消えた凶器
第11話,暗号のひみつ
第12話,すっかり忘れられている 暗号のひみつ
第13話,アサガオは知っていた
第14話,マイクロフィルムを探せ！
第15話,雨に消えた足あと
第16話,帰ってきたライバル！？ イナバくんあせる！
第17話,運動会だよ、全員集合！
第18話,カメラは見ていた
第19話,ねらわれた巻物
第20話,めざせ、金の山！
第21話,カメ吉くんモテモテ！？ イナバくんあせる！
第22話,走れ！ 荒井警部
第23話,荒井警部のくいしん坊大作戦！
第24話,クイズ おもしろ推理パズルで 名探偵に挑戦！！
第25話,南の島のかいかい事件
第26話,水晶に願いを込めて… イナバくんたまげる！
第27話,さよならイナバくん
第28話,旅立ち…
