第1話,女王、卑弥呼！
第142話,秀吉軍には負けないぞ！忍城攻防戦！！
第143話,元祖ラノベ作家！？井原西鶴！
第144話,安心を積み上げろ、信玄堤！
第145話,戦国をぬくぬく生き抜く、宇喜多秀家！ 
第146話,悪人とは呼ばないで、 戦国武将・松永久秀！
第147話,やってみよう！これがお江戸のスポーツだ！
第148話,ウルトラがんばるクイーン、光明子！
第149話,これはイケるぜ、明智光秀！〜山崎の戦い編〜
第150話,戦国の電撃ユニット、徳川四天王！
第151話,ニャンとも素敵なルール？大宝律令！　
第152話,ワンダフルが伝わらない！？ ワンニャン忠臣蔵！　
第153話,スーパーキャット聖徳太子、お寺を建たてる！
第154話,強面系純情派武将、 柴田勝家！
第155話,測量王になるぞ、 間宮林蔵！
第156話,茶々はチャチャッと終わらない、淀殿！
第157話,嗚呼、 憧れの院政生活！
第158話,戦国に熊出没注意！ 龍造寺隆信！
第159話,彫って、旅して、 微笑んで、円空！
第160話,東北に政宗あり！ 政宗に片倉小十郎あり！
