てんさい魔法塾に風が吹く!,2001/8/3,東京都渋谷区 NHKホール,2001/9/15,
教育フェア2001,2001/11/3,NHKスタジオパーク,テレビ放送なし,
MTKスーパーライブ2002,2002/1/21,北海道札幌市 札幌市教育文化会館,2002/2/11,
