真夏の夜の虫,2012/8/4,東京都渋谷区 NHKホール,2012/9/17,
大!天才てれびくんスペシャルステージ in NHK文化祭2012,2012/11/3・4,NHK放送センター 野外特設ステージ,2012/11/15,大!木曜LIVEで一部紹介
