渋谷DEどーも 双方向まつり 公開生放送スペシャル「大!天才てれびくん」,2013/5/5,NHKみんなの広場 ふれあいホール,2013/5/5,NHK総合テレビで放送
大!天才てれびくん 激闘!カテゴリング オンステージ in NHK文化祭2013,2013/11/3・4,NHK放送センター 野外特設ステージ,テレビ放送なし,
パズルの迷宮とゼロの秘宝,2014/1/11,パルテノン多摩  大ホール,2014/2/11,
