放送90年「きてみて体感！NHK」 <br>Let's天才てれびくん「大野課長とてれび戦士がやってくる！」,2015/8/29,NHK名古屋放送センタービル,テレビ放送なし,
「救急の日2015」 NHK「Let's天才てれびくん」プレゼンツ <br>蝶野教官＆てれび戦士と応急手当を学ぼう!,2015/9/6,アクアシティお台場,テレビ放送なし,当日のNHKニュースでイベントの模様が一部放送された。
NHK横浜感謝祭・「まれ」ファンミーティング<br>「Let's天才てれびくん」スペシャルステージ,2015/9/13,横浜赤レンガ倉庫イベント広場,テレビ放送なし,
NHK文化祭2015 Let’s天才てれびくん 異次元獣撃退訓練に参加しよう!,2015/10/31・11/1,NHK放送センター スタジオ511,テレビ放送なし,
Let’s天才てれびくんワールドin仙台,2016/1/11,NHK仙台放送局,テレビ放送なし,
