キノコ帝国の財宝を探せ,2000/8/20,神奈川県綾瀬市 綾瀬市文化会館,2000/9/23,
教育フェア2000 体験!未来のデジタルこども番組,2000/11,テント2000みんなの広場,テレビ放送なし,
ミュージックてれびくんスーパーライブ!!,公演日不明,大阪市吹田市 万国博ホール,2001/2/12,
