ユゲデールを救え!てれび戦士 史上最大の危機,2005/8/7,東京都渋谷区 NHKホール,2005/9/19,
教育フェア2005 天才てれびくんMAX スペシャルライブ,2005/11/5,NHK放送センター 野外特設ステージ,2005/11/17,ユゲデランドから生放送で一部放送
