NHKしずおか春まつり,2018/4/22,NHK静岡放送局,テレビ放送なし,
NHK仙台放送局 開局90周年 特別会館公開,2018/6/3,NHK仙台放送局,テレビ放送なし,
天才てれびくんＹＯＵトークショー 立花団長＆小島主任in北九州,2018/9/1,リバーウォーク北九州　１階　エナジーコート,テレビ放送なし,
天才てれびくんＹＯＵトークショー立花団長in金沢,2018/10/13,ＮＨＫ金沢放送局,テレビ放送なし,
天才てれびくんＹＯＵトークショー立花団長＆小島主任in奈良,2018/11/23,NHK奈良放送局,テレビ放送なし,
つくスポ！ゆめスポーツフェスタ,2018/12/9,洞峰公園 体育館,2018/12/28,
