ボリボリ大サーカスの奇跡 〜約束の場所へ〜,2007/8/4,東京都渋谷区 NHKホール,2007/9/17,
天才てれびくんMAXショー in 教育フェア2007,2007/11/4,NHK放送センター 野外特設ステージ,テレビ放送なし,
