ロック星の叫び プラズマ宇宙旅行,2004/8/1,東京都渋谷区 NHKホール,2004/9/20,
教育フェア2004 天才てれびくんMAX MTKライブ,2004/11/6,東京都武蔵村山市 武蔵村山市民会館,2004/11/18,
テンタニック号危機一髪!プラズマ大歌合戦,2005/1/30,神奈川県座間市 ハーモニーホール座間,2005/2/11,
