風雲!エドロポリス,2003/8/23,群馬県高崎市 群馬音楽センター,2003/9/23,
教育フェア2003 MTKミニライブ,2003/11/9,NHK放送センター 野外特設ステージ,テレビ放送なし,
スーパー(?)ミュージカル! モンキー座のゴルゴ13面相!,2004/2/1,東京都渋谷区 NHKホール,2004/2/11,
