ETV50 天才てれびくんMAX Dreaming 〜時空をこえる希望の歌〜,2009/8/1・8/12,東京都渋谷区 NHKホール  ・神戸国際会館,2009/9/22,NHKホール分のみ放送
天才てれびくんMAXショー in 教育フェア2009,2009/10/31,NHK放送センター 野外特設ステージ,2009/10/31,『生放送!ETV50 学ぶ冒険〜NHK教育フェア2009〜』内で一部放送
天才てれびくんMAX 新春バトル in ふれあいホール,2010/1/7,NHKみんなの広場 ふれあいホール,2010/1/7,ウキウキ木曜!で生放送
