サヨナラ生放送 〜てれび戦士の決断〜,2008/8/2,東京都渋谷区 NHKホール,2008/9/15,NHKワールド・プレミアムで2008年10月13日（JST）放送
天才てれびくんMAXショー in 教育フェア2008,2008/11/3,NHK放送センター 野外特設ステージ,2008/11/3,『どーんと生放送 教育フェア2008 学びたい!は終わらない』内で一部放送
ETV50 天才てれびくんMAX 〜新春歌合戦inふれあいホール〜,2009/1/8,NHKみんなの広場 ふれあいホール,2009/1/8,ウキウキ木曜!内で生放送
