ふてくさーる,にくそん、てつまる、すめりー,ROLLY,2017年6月15,原田明莉、小澤竜心、黒川桃花
れいか,みずえ、もゆる、すべるーかす,黒沢かずこ(森三中),2017年9月21日,原田明莉、小澤竜心、皆川寧々
ほわないと,ぱかぽん、たまみ、しろのじょう,くっきー(野性爆弾),2017年12月14日,黒川桃花、皆川寧々、向鈴鳥
なまえんじぇる,きのこのこ、ふだざえもん、まえた,岡崎体育,2018年3月1日,原田明莉、小澤竜心、黒川桃花、稻垣芽生、柿澤仁誠
