1,2016/4/4,朝礼台の校長を宙に持ち上げるナナの瞳の力おそろし,佐東みどり,長野克弘 U-ya(笠作侑矢) 菊池宇晃 恩田乃愛 野村ゆあ
2,4/11,電流の走るバンダナつけているラムダ塾でのレイコの本気,木滝りま,
3,4/18,手相見のホクロ毛ばかり気になって大事な予言聞き逃したり,佐東みどり,森下能幸
4,4/25,薄闇の春の廊下ですれ違うカラクリ人形 時間よとまれ,木滝りま,恩田乃愛 野村ゆあ 渡邉空美
5,5/9,河原には石の塔見ゆ カチカチと不満を石に変えられたなら,木滝りま,ふせえり 森下能幸 原扶貴子
6,5/16,埋蔵金マニアの飼える柴犬が小判くわえてほのぼの走る,木滝りま,ふせえり 森下能幸
7,5/23,数式に行き詰まる午後 七色の開運シールをじっと見つめる,佐東みどり,
8,5/30,沈黙はどこまで続く この窓に宇宙船などよぎってくれぬか,佐東みどり,
9,6/13,寝不足の少女が飛んだ水溜り 台風一過の町の静けさ,佐東みどり,
10,6/20,中華丼天丼かつ丼親子丼牛丼うな丼父の食欲,木滝りま,久ヶ沢徹 足立区の島崎 温水洋一
11,6/27,ゆうぐれの電柱太し ベレー帽の少年探偵裏に隠して,木滝りま,久ヶ沢徹 野田孝之輔 大西利空 温水洋一
12,7/4,ニクロム線つないだカップを口にあてしゃべり出す兄『☆‰ΨΩψЙ！』,佐東みどり,U-ya 菊池宇晃
13,7/11,喫茶店のコップの水に手をかざし沸騰させていらだつきみは,佐東みどり,
14,9/12,モノクロの写真でいつか見た人がわれに微笑む九月の夜に,佐東みどり,村田雄浩 森下能幸
15,9/19,ゆらゆらと水を花壇にはこびゆく少女が消えて秘密めく夏,木滝りま,
16,9/26,大天狗の面を抱えて帰りくる宇宙でたった一つの家族,木滝りま,
