もゆる,れいか、ばうてる、なかぴ,2019年6月27日,立花裕大、久住健斗、佐々木ゆら
からくりこん,どぅーろん、すべるーかす、きのこのこ,2019年10月10日,小島梨里杏、玉城美海、佐々木ゆら
いきるーと,まねしんぼう、がくざん、あかりん,2019年12月12日,立花裕大、小島梨里杏、久住健斗、堰沢結衣
オンくん,いさましうす、あそびっくりん 、とぅーもん,2020年2月27日,立花裕大、小島梨里杏、久住健斗、辻晴仁、徳永ゆうき
