0(プロローグ),ユゲデール物語〜歴史編〜,亀田万寿夫,2005年4月4日 2006年3月27日(再放送),
1,ユゲデール物語〜ニセ王と伝説のヤカン〜,亀田万寿夫, 5月30日 6月1日 6月2日,
2,ユゲデール物語2〜黒ジョーキ魔法を打ち破れ〜,亀田万寿夫, 9月12日 9月13日 9月14日,
3,ユゲデール物語最終章〜王の秘密〜,亀田万寿夫,2006年1月23日 1月24日 1月25日,
4,ユゲデール物語〜そして、戦いは終わったけど！〜,亀田万寿夫,4月2日,
