ラフィン★スター,恋人は宇宙人,スペースＢ級アイドル ナナセ（岩井七世）
アニメ,Ｅｖｅｒｙｂｏｄｙ～地図のない旅,ふじいほのか
アニメ,Ｅｖｅｒｙｂｏｄｙ Ｄａｎｃｅ,西城秀樹
