てれび戦士以外も参加したが、コメントもライブもなかったMTK,チャチャマンボでおどろうよ（間寛平）
6話完結の「天てれドラマ」（通常3話完結）,ぼくがぼくであること（木村遼希）
本放送内でレギュラー復活した卒業てれび戦士,山口美沙 (2006年度 木曜生放送司会)
ワイド開始時に加入し、ワイド終了時に卒業,安齊舞　1999～2002年度
「誕生日のうた」と「誕生日のうた2006」に出演,川﨑樹音
