古谷健太郎,井出卓也,スペースクラフト所属　2001～2004年度てれび戦士
今井夏見,岩田さゆり,スペースクラフト所属 代表作　3年B組 金八先生 第７シリーズ（TBS）飯島弥生 役
藤崎秀樹,鳶野恭平,
