御衛平次,ヒロシ,ヒロシ・コーポレーション所属
石川大介,阪口拓嗣,
瀬川エリナ,浜田翔子,アヴィラ所属
真辺理佐,泉田珠華,浅井企画所属
須藤啓,大和一孝,浅井企画所属
