森村刑事,山中崇,有限会社ザズウ所属
長田刑事,杉作J太郎,男の墓場プロダクション代表
田辺刑事,嶋大輔,フロム・ファーストプロダクション所属
井出刑事,山本剛史,エス・エス・エム所属 （㈱よしもとクリエイティブ・エージェンシー系列）
日高加奈子,上木彩矢,ボックスコーポレーション所属 /エイベックストラックス所属
