鈴木愛,飯塚萌木,NEWSエンターテイメント所属 主演舞台　ミュージカル「アニー」（2009）
鈴木　伸二郎 　 [愛の父親 大天テクノロジー勤務],増本庄一郎,
鈴木　美佐子　 [愛の母親　１年前に他界],高田和加子,
ヨシダさん　 [大天テクノロジー開発 家政婦ロボット,日高のり子,コンビネーション所属　 声優　　代表作　「タッチ」浅倉南
9. スカラブ,,
渡辺留美,瀬戸早妃,プロダクション尾木 所属
片倉憲次,内田健,グリーンメディア 所属
立花優子,芳賀優里亜,キリンプロ 所属 代表作　仮面ライダー555 (2003)　園田真理 役
部長,金橋良樹,劇団GINGUS FARM所属
小百合,塚本茉莉子,
