大空熱志,増本庄一郎,ユマニテ所属 / 俳優・脚本家・監督
片山光,豊嶋任世,ホリプロ・インプルーブメント・アカデミー(H.I.A)所属
三浦正美,吉崎文男,麗タレントプロモーション所属  バーディ企画タレントセンター所属  出演作品：ＰＶ『ＳＤＮ４８』
真田隼人,杉本安生,アルファコア所属
不良A,椎名孝雄,
不良B,白鳥和大,
野球部員,松岡信一,
野球部員（元テニス部）,秋山幸雄,
野球部員（元柔道部）,星周二,
野球部員（元卓球部）,宮川美雄,有限会社大坂事務所所属
