山崎佑介　[演劇サークル主宰],前田公輝,ホリプロ所属　2003～2005年度 てれび戦士
足立美加　[演劇サークル衣装係］,神定まお,ホリプロ所属
桑原秀一 [演劇サークル部員],千代将太,
