鈴木愛,飯塚萌木,NEWSエンターテイメント所属 主演舞台　ミュージカル「アニー」（2009）
鈴木　伸二郎 　 [愛の父親 大天テクノロジー勤務],増本庄一郎,
鈴木　美佐子　 [愛の母親　１年前に他界],高田和加子,
ヨシダさん　 [大天テクノロジー開発 家政婦ロボット,日高のり子,コンビネーション所属　 声優　　代表作　「タッチ」浅倉南
