藤本すみれ,中原知南,浅井企画所属
藤本さくら,森田彩華,オスカープロモーション所属 過去にＭＴＫ「空にまいあがれ」のＰＶに出演
さくらの彼氏役二階堂,熊本浩武,ミントアベニュー所属
お父さん,長江英和,長江英和
