佐々木幸次郎,矢部太郎,吉本興業所属　コンビ「カラテカ」
宮本武蔵,内田譲,グリーンメディア所属
オグラさん,藤本凉,グリーンメディア所属
巌流署署長,岩本淳,グリーンメディア所属
役名不明,亀田梨紗,
役名不明,熊本浩武,
