若旦那・轟　熊次郎,板尾創路,よしもとクリエイティブ・エージェンシー所属
若女将・轟　菊,ジョアン,ジュネス企画所属 / 2002年度-2004年度てれび戦士
板前・佐藤　善吉,アバス・ハギ－ギ,
仲居・桂　トメ,マサボ・イザベル・ナオミ,フランスと石垣島のハーフの芸人 M-1グランプリ2001準決勝進出の経歴あり 「天才ビットくん」にも出演
番頭・染野　弐助,チャド・マレーン,よしもとクリエイティブ・エージェンシー所属
不動産業者・道明寺　太郎,オジエル・ノザキ,株式会社ジュネス所属 / ブラジル出身のモデル・タレント
